pCom pHouse dHouse phiV phiA piV piA
0.00395292741785597 0.456005408872009 1.51236694703697 0.622931102512967 0.853106723129144 0.998970585845471 0.993090624196657
0.00354476509588828 0.438059285954287 0 0.726759792761499 0.782012110239263 0.999098300562505 0.993383726629987
0.00384680912340397 0.377177654366545 0 0.756587617999852 0.833162488285381 0.999259112292685 0.991509265640616
0.00402293566142019 0.285762187387117 0.257866139398326 0.687813699337079 0.919621196828659 0.999655581462514 0.992821574977212
0.003211309551303 0.343874657398744 8.09154258012499 0.742865016045674 0.901103059296576 0.999085441982938 0.992829875893102
0.00407343949572999 0.384453617946598 0.494005079607276 0.687908089569841 0.839868171736349 0.999324317252057 0.995123145091701
0.00359317413007847 0.440251427512346 0 0.681951525516246 0.915168450867835 0.999548464891586 0.994077253147108
0.00442736414581213 0.295082573312206 0.416526385596096 0.775501231368528 0.825813513965163 0.999633314905333 0.993707697719654
0.00363576733115449 0.363862519230875 0.886732454411754 0.703702955695676 0.839481742871191 0.999015180734457 0.993746621393868
0.00377317518870568 0.325608139783732 0.732508948712762 0.778810650473844 0.909994490721311 0.999181720682656 0.993137143038774
0.00393277903308293 0.368115906949834 0.106694439833764 0.775232931094216 0.892573778558725 0.999614876462318 0.991854051157029
0.00329523142290403 0.394159888855093 1.29938163705094 0.704012158540607 0.9151625026511 0.999259082259355 0.992954276785364
0.00435058740314307 0.336582620245153 1.15310036437741 0.710931417595176 0.808127458538995 0.999601286433354 0.993222131991622
0.00533649153689829 0.32301439220191 0.193497862189327 0.662767860654121 0.88703131205701 0.999524129094645 0.993418427977819
0.00439688644801142 0.313735045968716 1.06460729577391 0.804143315548698 0.821959567351347 0.999358885784032 0.994106031782424
0.00402444434456683 0.418319592195402 0.262227223306037 0.779487559030358 0.836734437290964 0.999381130602453 0.992114899281769
0.00385897761555873 0.377182119009191 0.56811602923593 0.73339560436267 0.886835996731981 0.999184303076429 0.993257851894344
0.00571151122409516 0.405998973032081 0.259450677351416 0.696651294955053 0.846378923680159 0.99965396410532 0.992786202489665
0.00444053098721497 0.310214477000994 0.556509205808435 0.708207354029365 0.835992007910878 0.999739362134449 0.994515144780428
0.00305489478830213 0.253059551863005 0.785038964116208 0.832600244508414 0.821464855451445 0.999402014102968 0.993129494105861
0.00431078453936833 0.367512469847471 0.282559109037866 0.788870766742646 0.841329668231217 0.999098300562505 0.992955698104503
0.00357929329481577 0.286836355295197 0.515082814038326 0.684843717087238 0.864679661151302 0.998767815191963 0.993789254134417
0.00363235482280653 0.379588027497711 0.630275287671353 0.68106198718555 0.914586408920293 0.999402014102968 0.994535378818964
